Lista towarów
Id	Nazwa	Na kasie	Kod	Mar¿a rz.	Cena ew.	Cena det.	Cena hurt.	Cena noc.	VAT %	Iloœæ	Asortyment
190	Sok czarny bez OL  490ml	Sok czarny bez OL	5904960010947	44,76	17,76	27,00	27,00	27,00	5 %	1,000	Soki
4790	Sok dzika roza BIO 500ml BP	Sok dzika roza BIO	5902983784159	35,23	11,41	16,20	16,20	16,20	5 %	3,000	Soki
1559	Sok EkaVita 1l EM serce	Sok Eka Vita 1l EM	5902596671686	36,45	33,50	48,00	48,00	48,00	5 %	0,000	Soki
5856	Sok g³og 500 BP bio	Sok g³og BP	5907738157998	39,75	12,88	18,90	18,90	18,90	5 %	5,000	Soki
3678	Sok g³og EM 1L EkaMed	Sok g³og EM 1L	5904213000954	32,42	29,49	41,00	41,00	41,00	5 %	6,000	Soki
1077	Sok Granat Bio NV 1l	Sok Granat Bio NV 1l	5907377280071	27,88	31,20	41,90	41,90	41,90	5 %	3,000	Soki
219	Sok granat Ol 490	Sok granat Ol	5907559279848	41,75	15,45	23,00	23,00	23,00	5 %	6,000	Soki
221	Sok granat ss 500 Wi	Sok granat ss 500	5906961181091	53,32	9,94	16,00	16,00	16,00	5 %	19,000	Soki
5217	Sok Graviola 1l EkaMedica	Graviola 1l EM	5906874160138	30,11	39,99	64,00	64,00	65,00	23 %	2,000	Soki
204	Sok graviola EM 500 EkaMed	Sok graviola EM	5902596671907	29,81	24,99	39,90	39,90	39,90	23 %	1,000	Soki
5753	Sok imbir cytryna 490ml oleofarm	Sok imb cyt 49	590496016109	42,12	20,44	30,50	30,50	30,50	5 %	5,000	Soki
5861	Sok imbir kurkuma cytryna 490ml Oleofarm	Sok imb kurk cytr	5904960016253	42,69	21,69	32,50	32,50	32,50	5 %	8,000	Soki
1957	Sok jagod Sam Sok 250ml ss Wi	Sok z jagód SS 250	5906961180360	35,42	11,04	15,70	15,70	15,70	5 %	10,000	Soki
6745	Sok jagoda kamczacka 330ml Batom	Sok jag kam 330	5907709950641	41,73	12,70	18,90	18,69	18,90	5 %	1,000	Soki
6764	Sok jagoda kamczacka 330ml BIO Kamionna	Sok jag kam BIO	5905504066093	39,62	12,14	17,80	17,80	17,80	5 %	1,000	Soki
237	Sok kapusta BF 300	Sok kapusta BF	5907752683404	35,74	4,70	6,70	6,70	6,70	5 %	0,000	Soki
191	Sok karczoch AM 500 Alter medica	Sok karczoch AM	5907530440601	41,97	13,08	19,50	19,50	19,50	5 %	7,000	Soki
5096	Sok karczoch BIO 250ml Dary	Sok karcz BIO 250	5903246860139	32,42	9,44	13,50	13,50	13,50	8 %	0,000	Soki
6256	sok limonka 250 AN	sok limonka	8009004811959	38,88	6,79	9,90	9,90	9,90	5 %	1,000	Soki
6149	Sok malina 250ml Bio Polska Ró¿a	Sok mal 250 Bio	5902768174236	32,83	11,97	16,70	16,70	16,70	5 %	2,000	Soki
